Input | IR Sensor Values               | Predicted            | Actual              
45    | [1,0,2,0,0,0,0]                | [a2]                 | [b1]                
46    | [0,0,1,0,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
47    | [0,0,0,1,1,0,0]                | [b1,b2]              | [a2]                
48    | [0,1,0,1,0,0,0]                | [b2]                 | [r2]                
49    | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2]             
50    | [ 0, 0, 2, 2,31, 0, 0]         | [f2,f3]              | [f2,f3]             
51    | [0,0,0,1,0,0,0]                | [b1,b2]              | [a2]                
52    | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
53    | [  0,  0,  0,  0,227,  4,  0]  | [f3]                 | [f3]                
54    | [ 0, 1,15,36, 0, 0, 0]         | [e2]                 | [e2,e3]             
55    | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2,s1,s2]       
56    | [ 0, 0, 1, 5,15, 9, 0]         | [f2]                 | [f2]                
57    | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
58    | [0,0,0,1,0,0,0]                | [b1,b2]              | [b1]                
59    | [0,0,1,1,2,0,0]                | [r1,r2,s1,s2]        | [a1]                
60    | [0,1,0,0,1,0,0]                | [b2]                 | [a1]                
61    | [0,0,0,0,1,0,0]                | [a1]                 | [s2]                
62    | [  0,  0, 86,104, 63, 14,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
63    | [  0,  1,218,750,  3,  1,  0]  | [e3]                 | [e3]                
64    | [0,1,0,0,1,0,0]                | [b2]                 | [b1,b2]             
65    | [0,0,0,0,2,0,0]                | [s1]                 | [s1]                
66    | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2]             
67    | [0,0,0,0,2,0,0]                | [s1]                 | [a1,a2,b1,b2]       
68    | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1]                
69    | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
70    | [  0,  2,217,750,  1,  1,  0]  | [e3]                 | [e3]                
71    | [ 0, 0,16,30, 2, 0, 0]         | [e2]                 | [e2,e3]             
72    | [ 0, 0, 0, 1,31, 2, 0]         | [f2,f3]              | [f2,f3]             
73    | [0,0,0,0,2,0,0]                | [s1]                 | [r1,r2]             
74    | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
75    | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
76    | [  0,  0,  0,  0,224,  5,  0]  | [f3]                 | [f3]                
77    | [0,0,0,3,0,0,0]                | [b1]                 | [b1,b2]             
78    | [0,0,0,1,1,0,0]                | [b1,b2]              | [r1,r2]             
79    | [  0,  0, 86,106, 63, 13,  1]  | [f2,f3]              | [e1,e2,f1,f2]       
80    | [  0,  1,  0,  1,222,  6,  0]  | [f3]                 | [f3]                
81    | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1]                
82    | [0,0,0,0,0,0,0]                | [a1]                 | [s1]                
83    | [0,0,0,1,1,0,0]                | [b1,b2]              | [s1,s2]             
84    | [0,0,1,2,3,0,0]                | [r1,r2,s1,s2]        | [b2]                
85    | [0,0,0,3,0,0,0]                | [b1]                 | [b1,b2]             
86    | [  0,  1,  0,  0,224,  4,  0]  | [f3]                 | [f3]                
87    | [0,0,0,0,2,0,0]                | [s1]                 | [r1,r2]             
88    | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
89    | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
90    | [0,0,0,0,2,0,0]                | [s1]                 | [s2]                
91    | [ 0, 0,16,36, 1, 0, 0]         | [e2]                 | [e2,e3]             
92    | [0,0,0,0,2,0,0]                | [s1]                 | [s2]                
93    | [  0,  1, 80,109, 58, 17,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
94    | [  0,  0,  0,  0,223,  5,  0]  | [f3]                 | [f3]                
95    | [  0,  0, 82,107, 60, 16,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
96    | [ 0, 0, 0, 4,12, 9, 0]         | [f2]                 | [f2]                
97    | [0,0,0,0,0,0,0]                | [a1]                 | [b2]                
98    | [ 1, 0,18,29, 2, 0, 0]         | [e2]                 | [e2,e3]             
99    | [0,0,1,0,4,0,0]                | [r1,r2,s1,s2]        | [s1]                
100   | [1,0,0,0,1,0,0]                | [a1]                 | [a1]                
101   | [ 0, 0, 1, 3,33, 2, 0]         | [f2,f3]              | [f2,f3]             
102   | [ 0, 2, 2, 6,10, 9, 0]         | [f2]                 | [f2]                
103   | [0,0,0,1,0,0,0]                | [b1,b2]              | [a2]                
104   | [0,0,0,0,1,0,0]                | [a1]                 | [s1,s2]             
